ballX,ballY,ballVX,ballVY,playerY,dir
435.37146377563477,371.01720905303955,600.0,179.99999999999994,321.0,1.0
455.5609874725342,377.0740661621094,600.0,179.99999999999994,321.0,0.0
475.39145278930664,383.0232057571411,600.0,179.99999999999994,321.0,0.0
496.48448753356934,389.3511161804199,600.0,179.99999999999994,321.0,0.0
515.0778465270996,394.929123878479,600.0,179.99999999999994,321.0,0.0
535.082405090332,400.93049144744873,600.0,179.99999999999994,321.0,0.0
555.6329898834229,407.095666885376,600.0,179.99999999999994,321.0,0.0
574.9830894470215,412.90069675445557,600.0,179.99999999999994,321.0,0.0
596.0171871185303,419.2109260559082,600.0,179.99999999999994,321.0,0.0
615.7938652038574,425.14392948150635,600.0,179.99999999999994,321.0,0.0
648.5675983428955,434.9760494232178,600.0,179.99999999999994,321.0,0.0
